Plate,Well,Sample ID,Vial,Coral ID,Timepoint,Project,Type
1,A1,WSH001,10,R37-A1,,KW_PJB,ITS2
1,B1,WSH002,11,R23-A2,,KW_PJB,ITS2
1,C1,WSH003,12,R20-A2,,KW_PJB,ITS2
1,D1,WSH004,13,R35-A2,,KW_PJB,ITS2
1,E1,WSH005,14,R40-A2,,KW_PJB,ITS2
1,F1,WSH006,15,R17-A1,,KW_PJB,ITS2
1,G1,WSH007,21,R29-A2,,KW_PJB,ITS2
1,H1,WSH008,22,R11-A2,,KW_PJB,ITS2
1,A2,WSH009,23,R20-A4,,KW_PJB,ITS2
1,B2,WSH010,24,R28-A4,,KW_PJB,ITS2
1,C2,WSH011,29,R19-A1,,KW_PJB,ITS2
1,D2,WSH012,30,R20-A1,,KW_PJB,ITS2
1,E2,WSH013,31,R8-A1,,KW_PJB,ITS2
1,F2,WSH014,32,R11-A1,,KW_PJB,ITS2
1,G2,WSH015,33,R32-A4,,KW_PJB,ITS2
1,H2,WSH016,34,R7-A4,,KW_PJB,ITS2
1,A3,WSH017,35,R32-A2,,KW_PJB,ITS2
1,B3,WSH018,36,R28-A2,,KW_PJB,ITS2
1,C3,WSH019,37,R7-A2,,KW_PJB,ITS2
1,D3,WSH020,39,R19-A2,,KW_PJB,ITS2
1,E3,WSH021,40,R36-A4,,KW_PJB,ITS2
1,F3,WSH022,41,R35-A4,,KW_PJB,ITS2
1,G3,WSH023,43,R8-A4,,KW_PJB,ITS2
1,H3,WSH024,44,R29-A1,,KW_PJB,ITS2
1,A4,WSH025,46,R26-A1,,KW_PJB,ITS2
1,B4,WSH026,49,R19-A4,,KW_PJB,ITS2
1,C4,WSH027,51,R17-A2,,KW_PJB,ITS2
1,D4,WSH028,53,R37-A2,,KW_PJB,ITS2
1,E4,WSH029,54,R32-A1,,KW_PJB,ITS2
1,F4,WSH030,55,R36-A1,,KW_PJB,ITS2
1,G4,WSH031,56,R7-A1,,KW_PJB,ITS2
1,H4,WSH032,57,R26-A2,,KW_PJB,ITS2
1,A5,WSH033,58,R8-A2,,KW_PJB,ITS2
1,B5,WSH034,62,R36-A2,,KW_PJB,ITS2
1,C5,WSH035,63,R11-A4,,KW_PJB,ITS2
1,D5,WSH036,65,R29-A4,,KW_PJB,ITS2
1,E5,WSH037,67,R23-A1,,KW_PJB,ITS2
1,F5,WSH038,68,R35-A1,,KW_PJB,ITS2
1,G5,WSH039,71,R28-A1,,KW_PJB,ITS2
1,H5,WSH040,73,R23-A4,,KW_PJB,ITS2
1,A6,WSH041,74,R37-A4,,KW_PJB,ITS2
1,B6,WSH042,80,R40-A4,,KW_PJB,ITS2
1,C6,WSH043,87,R26-A4,,KW_PJB,ITS2
1,D6,WSH044,88,R40-A1,,KW_PJB,ITS2
1,E6,WSH045,89,R17-A4,,KW_PJB,ITS2
1,F6,WSH046,2,Plug_10,48hps,AH_MCAP,ITS2
1,G6,WSH047,3,Plug_4,48hps,AH_MCAP,ITS2
1,H6,WSH048,4,Plug_5,48hps,AH_MCAP,ITS2
1,A7,WSH049,5,Plug_9,48hps,AH_MCAP,ITS2
1,B7,WSH050,6,Plug_11,72hps,AH_MCAP,ITS2
1,C7,WSH051,7,Plug_2,72hps,AH_MCAP,ITS2
1,D7,WSH052,8,Plug_6,72hps,AH_MCAP,ITS2
1,E7,WSH053,9,D1,TP1,AH_MCAP,ITS2
1,F7,WSH054,10,D2,TP1,AH_MCAP,ITS2
1,G7,WSH055,11,D3 ,TP1,AH_MCAP,ITS2
1,H7,WSH056,12,D4,TP1,AH_MCAP,ITS2
1,A8,WSH057,13,D36,TP10,AH_MCAP,ITS2
1,B8,WSH058,14,D37,TP10,AH_MCAP,ITS2
1,C8,WSH059,15,D38,TP10,AH_MCAP,ITS2
1,D8,WSH060,16,D40,TP10,AH_MCAP,ITS2
1,E8,WSH061,17,D5,TP2,AH_MCAP,ITS2
1,F8,WSH062,18,D6,TP2,AH_MCAP,ITS2
1,G8,WSH063,19,D7,TP2,AH_MCAP,ITS2
1,H8,WSH064,20,D8,TP2,AH_MCAP,ITS2
1,A9,WSH065,21,D10,TP3,AH_MCAP,ITS2
1,B9,WSH066,22,D11,TP3,AH_MCAP,ITS2
1,C9,WSH067,23,D12,TP3,AH_MCAP,ITS2
1,D9,WSH068,24,D9,TP3,AH_MCAP,ITS2
1,E9,WSH069,25,D13,TP4,AH_MCAP,ITS2
1,F9,WSH070,26,D14,TP4,AH_MCAP,ITS2
1,G9,WSH071,27,D15,TP4,AH_MCAP,ITS2
1,H9,WSH072,28,D16,TP4,AH_MCAP,ITS2
1,A10,WSH073,29,D17,TP5,AH_MCAP,ITS2
1,B10,WSH074,30,D18,TP5,AH_MCAP,ITS2
1,C10,WSH075,31,D19,TP5,AH_MCAP,ITS2
1,D10,WSH076,32,D20,TP5,AH_MCAP,ITS2
1,E10,WSH077,33,D21,TP6,AH_MCAP,ITS2
1,F10,WSH078,34,D22,TP6,AH_MCAP,ITS2
1,G10,WSH079,35,D23,TP6,AH_MCAP,ITS2
1,H10,WSH080,36,D24,TP6,AH_MCAP,ITS2
1,A11,WSH081,37,D29,TP9,AH_MCAP,ITS2
1,B11,WSH082,38,D30,TP9,AH_MCAP,ITS2
1,C11,WSH083,39,D31,TP9,AH_MCAP,ITS2
1,D11,WSH084,40,D32,TP9,AH_MCAP,ITS2
1,E11,WSH085,2,M-201,2019-12-04,ES_BP,ITS2
1,F11,WSH086,4,M-11,2019-12-04,ES_BP,ITS2
1,G11,WSH087,6,M-202,2019-12-04,ES_BP,ITS2
1,H11,WSH088,16,M-217,2019-12-04,ES_BP,ITS2
1,A12,WSH089,17,M-212,2019-12-04,ES_BP,ITS2
1,B12,WSH090,18,M-4,2019-12-04,ES_BP,ITS2
1,C12,WSH091,21,M-20,2019-12-04,ES_BP,ITS2
