sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
WSH117,185,-0.10719064275442504,-0.012850709073417928,-0.02649312693512878,-0.013770756740641906,0.03462480302524216,-0.005688906666302143,-0.0036559747666571173,-0.00020107122744185966,0.0006606878191598673,-3.410403321918874e-05,-0.00038481826292845075,-9.985185529888226e-05,4.574936304411302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,-0.43656094777253535,-0.007746129377200481,0.03878343155663237,-0.02859440085696365,-0.002282906825169507,-0.005229956889064461,-0.0018561236073185736,-0.00021992575591288173,-1.730778090578212e-05,0.00018634589934886714,-0.00016664084643517628,1.8561974585781923e-05,2.7524214226453667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH125,187,0.07750078046276833,0.0038776731506107898,0.000671060938142273,-0.004718337719083595,0.0006406761337409804,-0.0036938389776638952,0.0038686292515801492,-0.0030438485042210387,0.0012686649391454377,-0.00021970107658014616,-0.0016276213760158696,-0.0006524391341326953,-2.4831561964013372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH095,188,0.06598163859955437,0.012346454820831956,-0.014736341572673756,-0.017580778881532658,-0.004805154121881951,0.002606834738518731,-0.0003173636420923281,-0.0019626463721157707,0.0011003698185623452,0.0007378263419975349,-0.0007225586139240839,0.0010615264282748415,0.00047503578420852457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,0.04646183032502878,-0.03319501138491227,0.002394840232949604,0.002416231594584284,-0.00821006773348165,-0.01778963901207215,0.010078581151084459,0.0009497248282368604,0.0004713927661482964,0.0005386913243501807,-0.0005031415262265979,4.276422727349547e-05,4.0601078434104345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH091,192,0.08697149387583293,0.011167211803724356,0.006691579535504646,0.017169532856147796,0.001457160340809091,0.0028439109161363663,0.0016330265508675728,0.0008522995454096496,0.0036752064092758223,0.003228242936703235,0.0004364804587492694,0.0017339652260178371,0.0005676329440804764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,0.0750590828758956,0.007127476558963345,-0.008696915389900183,-0.01186374639758176,-0.0032664354561678195,-0.004475849416652821,-0.0010153518514525134,0.00513252004951592,-0.0005915082975882276,-0.0018119390113829333,0.003171728419921609,-0.0006730906894279931,0.0005621574905958071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,0.021644167262974665,-0.04589759495519241,0.03648465935666689,0.019826200928605705,0.009527870328496054,0.004743471078866815,-0.003889450516422135,0.0009902301521652807,-0.0004843825178898223,-0.00029562500469707226,0.0004536886450682786,-4.345756048101627e-06,-2.202911848975279e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,0.07855373097575144,0.008269504857170547,-0.005326404660682705,0.007609554897855144,0.004676489365988354,0.0004897402381111219,0.011097909865727113,-0.0019461501160978059,0.002409951791577416,-0.002019003732271015,0.0015108466246821885,-0.0007056716572723127,-0.000654073479709273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH103,200,0.06796154614986494,0.011453740627951278,-0.011247655689171469,-0.01601898697664413,-0.003680765318723547,-0.0008118545672435715,-0.0007772582516332782,0.0007804599096982789,0.000294877964520652,0.0015128594620994436,-0.0022447989337599115,0.0009234379348810613,-0.00039920571574946645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH122,205,-0.3314471263104251,-0.028433319465454007,-0.04364695948663463,0.032440445457360655,-0.007954473152449232,-3.759587389829587e-05,-0.0015520909042504847,-2.862590503899431e-06,0.0001582955008980362,0.00015987226647858532,-4.122516367160497e-05,4.2420419627378036e-05,5.500404200544844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH105,206,-0.017337781054975476,-0.052826944050837356,-0.001498508459122315,-0.019469847698219238,-0.013596164385681822,0.01452016486514425,0.0018715748858998732,-0.0011120249071298206,0.0007146746114047362,-0.0002163405712165483,0.00039662326288938135,0.00017181738192252494,-7.455433432099697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH111,207,0.07859514761561656,0.007940178398999215,0.004574854293815704,-0.001232895377077449,0.0004161803430057327,-0.005250514154873076,0.0008710848010799213,0.0018308322369202273,-0.004282086329541265,0.0012641128351571639,0.0015479038636407691,0.0018797544116490035,-0.0005118142068407229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH089,208,0.08026992093879076,0.006537919689957013,-0.0012502205266698189,0.014001409365188516,-0.009471957496448049,-0.0056935639920798475,-0.008509756455588385,-0.003724501253841677,-0.0023771156125796094,0.0010911857658567246,0.000780049502665526,-8.521031299618853e-05,6.440575634600925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH088,210,0.09327195065716326,0.021084602473098096,0.026933135478065695,0.00842096703383997,-0.007639932147407663,-0.001244940588577901,-0.0007744890577496685,0.0005637580400392303,0.0010454107420623424,0.0010304288503579437,-0.0007653621049489717,-0.0014656612135499386,-8.106813578772382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH126,211,0.08005188580345703,0.005999194035956365,0.00617279325618329,0.004180125654597461,0.002532782136517359,0.0005835135539198275,0.0016211125454979574,-0.00220396464461614,-0.0011793812812758019,-0.0028786567920904963,-0.000769845868471891,-0.00010279536921192708,0.001241157683467855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH106,212,0.09063736746882523,0.002417855206681586,0.00482217491530562,0.0027466161867942596,0.010568940291468336,0.0063573298019129545,0.004526768000818428,-0.003890111717472709,-0.005537972531438619,0.00043272683580962326,8.517870047204417e-05,-0.00011528236665804366,-0.0001325373592082461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH093,214,0.08752866601752576,0.009227856942803212,0.011448272711823713,0.010409129043798097,-0.00010122654424268572,-0.0010287137363666021,-0.006974340835644371,0.0007135106716073821,0.0022793708114558714,-0.005398834942685367,-0.001063629328551079,0.0014389289346809662,-0.000523484673793155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
