Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3054435,4/10/19 12:26:36,0.000,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.430,µmol/L,27.469,¡C,1018.000,hPa,Humid,34,0
3054445,4/10/19 12:26:40,0.055,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.415,µmol/L,27.467,¡C,1018.000,hPa,Humid,34,0
3054455,4/10/19 12:26:43,0.105,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.379,µmol/L,27.470,¡C,1018.000,hPa,Humid,34,0
3054465,4/10/19 12:26:46,0.155,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.348,µmol/L,27.474,¡C,1018.000,hPa,Humid,34,0
3054475,4/10/19 12:26:49,0.205,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.327,µmol/L,27.474,¡C,1018.000,hPa,Humid,34,0
3054485,4/10/19 12:26:52,0.256,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.282,µmol/L,27.480,¡C,1018.000,hPa,Humid,34,0
3054495,4/10/19 12:26:55,0.306,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.324,µmol/L,27.475,¡C,1018.000,hPa,Humid,34,0
3054505,4/10/19 12:26:58,0.355,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.289,µmol/L,27.492,¡C,1018.000,hPa,Humid,34,0
3054515,4/10/19 12:27:01,0.405,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.259,µmol/L,27.477,¡C,1018.000,hPa,Humid,34,0
3054525,4/10/19 12:27:04,0.455,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.253,µmol/L,27.483,¡C,1018.000,hPa,Humid,34,0
3054535,4/10/19 12:27:07,0.505,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.290,µmol/L,27.477,¡C,1018.000,hPa,Humid,34,0
3054545,4/10/19 12:27:10,0.555,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.251,µmol/L,27.480,¡C,1018.000,hPa,Humid,34,0
3054555,4/10/19 12:27:13,0.605,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.245,µmol/L,27.475,¡C,1018.000,hPa,Humid,34,0
3054565,4/10/19 12:27:16,0.655,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.188,µmol/L,27.481,¡C,1018.000,hPa,Humid,34,0
3054575,4/10/19 12:27:19,0.705,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.224,µmol/L,27.475,¡C,1018.000,hPa,Humid,34,0
3054585,4/10/19 12:27:22,0.755,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.225,µmol/L,27.471,¡C,1018.000,hPa,Humid,34,0
3054595,4/10/19 12:27:25,0.805,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.242,µmol/L,27.469,¡C,1018.000,hPa,Humid,34,0
3054605,4/10/19 12:27:28,0.856,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.204,µmol/L,27.468,¡C,1018.000,hPa,Humid,34,0
3054615,4/10/19 12:27:31,0.906,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.245,µmol/L,27.456,¡C,1018.000,hPa,Humid,34,0
3054625,4/10/19 12:27:34,0.955,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.186,µmol/L,27.467,¡C,1018.000,hPa,Humid,34,0
3054635,4/10/19 12:27:37,1.005,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.212,µmol/L,27.457,¡C,1018.000,hPa,Humid,34,0
3054645,4/10/19 12:27:40,1.055,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.235,µmol/L,27.464,¡C,1018.000,hPa,Humid,34,0
3054655,4/10/19 12:27:43,1.105,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.215,µmol/L,27.456,¡C,1018.000,hPa,Humid,34,0
3054665,4/10/19 12:27:46,1.156,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.223,µmol/L,27.457,¡C,1018.000,hPa,Humid,34,0
3054675,4/10/19 12:27:49,1.206,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.207,µmol/L,27.456,¡C,1018.000,hPa,Humid,34,0
3054685,4/10/19 12:27:52,1.255,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.186,µmol/L,27.456,¡C,1018.000,hPa,Humid,34,0
3054695,4/10/19 12:27:55,1.305,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.142,µmol/L,27.472,¡C,1018.000,hPa,Humid,34,0
3054705,4/10/19 12:27:58,1.355,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.179,µmol/L,27.466,¡C,1018.000,hPa,Humid,34,0
3054715,4/10/19 12:28:01,1.405,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.149,µmol/L,27.470,¡C,1018.000,hPa,Humid,34,0
3054725,4/10/19 12:28:04,1.455,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.161,µmol/L,27.469,¡C,1018.000,hPa,Humid,34,0
3054735,4/10/19 12:28:07,1.505,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.176,µmol/L,27.441,¡C,1018.000,hPa,Humid,34,0
3054745,4/10/19 12:28:10,1.556,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.194,µmol/L,27.438,¡C,1018.000,hPa,Humid,34,0
3054755,4/10/19 12:28:13,1.606,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.122,µmol/L,27.465,¡C,1018.000,hPa,Humid,34,0
3054765,4/10/19 12:28:16,1.655,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.125,µmol/L,27.449,¡C,1018.000,hPa,Humid,34,0
3054775,4/10/19 12:28:19,1.705,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.100,µmol/L,27.455,¡C,1018.000,hPa,Humid,34,0
3054785,4/10/19 12:28:22,1.755,SABD0000000003 (OXY-10 ST),1,Gates1 (PSt7-10),4/10/19 11:15:14,default,92.163,µmol/L,27.446,¡C,1018.000,hPa,Humid,34,0
