Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3083572,6/10/19 8:47:06,14.483,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.962,µmol/L,26.483,¡C,1015.000,hPa,Humid,34,0
3083577,6/10/19 8:47:08,14.517,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.041,µmol/L,26.468,¡C,1015.000,hPa,Humid,34,0
3083583,6/10/19 8:47:10,14.548,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.068,µmol/L,26.478,¡C,1015.000,hPa,Humid,34,0
3083590,6/10/19 8:47:12,14.585,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.075,µmol/L,26.480,¡C,1015.000,hPa,Humid,34,0
3083598,6/10/19 8:47:14,14.620,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.123,µmol/L,26.469,¡C,1015.000,hPa,Humid,34,0
3083607,6/10/19 8:47:17,14.658,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.136,µmol/L,26.481,¡C,1015.000,hPa,Humid,34,0
3083617,6/10/19 8:47:20,14.705,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.200,µmol/L,26.483,¡C,1015.000,hPa,Humid,34,0
3083627,6/10/19 8:47:23,14.755,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.159,µmol/L,26.476,¡C,1015.000,hPa,Humid,34,0
3083637,6/10/19 8:47:26,14.804,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.134,µmol/L,26.472,¡C,1015.000,hPa,Humid,34,0
3083647,6/10/19 8:47:29,14.854,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.179,µmol/L,26.459,¡C,1015.000,hPa,Humid,34,0
3083657,6/10/19 8:47:32,14.904,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.074,µmol/L,26.456,¡C,1015.000,hPa,Humid,34,0
3083667,6/10/19 8:47:35,14.954,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.022,µmol/L,26.481,¡C,1015.000,hPa,Humid,34,0
3083677,6/10/19 8:47:38,15.005,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,58.078,µmol/L,26.475,¡C,1015.000,hPa,Humid,34,0
3083687,6/10/19 8:47:41,15.055,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.993,µmol/L,26.462,¡C,1015.000,hPa,Humid,34,0
3083697,6/10/19 8:47:44,15.105,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.993,µmol/L,26.466,¡C,1015.000,hPa,Humid,34,0
3083707,6/10/19 8:47:47,15.155,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.956,µmol/L,26.477,¡C,1015.000,hPa,Humid,34,0
3083717,6/10/19 8:47:50,15.205,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.869,µmol/L,26.463,¡C,1015.000,hPa,Humid,34,0
3083727,6/10/19 8:47:53,15.255,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.845,µmol/L,26.455,¡C,1015.000,hPa,Humid,34,0
3083737,6/10/19 8:47:56,15.305,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.837,µmol/L,26.470,¡C,1015.000,hPa,Humid,34,0
3083747,6/10/19 8:47:59,15.354,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.816,µmol/L,26.464,¡C,1015.000,hPa,Humid,34,0
3083757,6/10/19 8:48:02,15.404,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.859,µmol/L,26.455,¡C,1015.000,hPa,Humid,34,0
3083767,6/10/19 8:48:05,15.455,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.827,µmol/L,26.474,¡C,1015.000,hPa,Humid,34,0
3083777,6/10/19 8:48:08,15.505,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.853,µmol/L,26.452,¡C,1015.000,hPa,Humid,34,0
3083787,6/10/19 8:48:11,15.555,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.915,µmol/L,26.445,¡C,1015.000,hPa,Humid,34,0
3083797,6/10/19 8:48:14,15.605,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.905,µmol/L,26.473,¡C,1015.000,hPa,Humid,34,0
3083807,6/10/19 8:48:17,15.655,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.870,µmol/L,26.452,¡C,1015.000,hPa,Humid,34,0
3083817,6/10/19 8:48:20,15.705,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.836,µmol/L,26.461,¡C,1015.000,hPa,Humid,34,0
3083827,6/10/19 8:48:23,15.754,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.852,µmol/L,26.460,¡C,1015.000,hPa,Humid,34,0
3083837,6/10/19 8:48:26,15.804,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.885,µmol/L,26.452,¡C,1015.000,hPa,Humid,34,0
3083847,6/10/19 8:48:29,15.855,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.904,µmol/L,26.435,¡C,1015.000,hPa,Humid,34,0
3083857,6/10/19 8:48:32,15.905,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.800,µmol/L,26.468,¡C,1015.000,hPa,Humid,34,0
3083867,6/10/19 8:48:35,15.955,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.856,µmol/L,26.454,¡C,1015.000,hPa,Humid,34,0
3083877,6/10/19 8:48:38,16.005,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.828,µmol/L,26.456,¡C,1015.000,hPa,Humid,34,0
3083887,6/10/19 8:48:41,16.055,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.773,µmol/L,26.451,¡C,1015.000,hPa,Humid,34,0
3083897,6/10/19 8:48:44,16.104,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.820,µmol/L,26.443,¡C,1015.000,hPa,Humid,34,0
3083907,6/10/19 8:48:47,16.155,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.872,µmol/L,26.446,¡C,1015.000,hPa,Humid,34,0
3083917,6/10/19 8:48:50,16.205,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.860,µmol/L,26.437,¡C,1015.000,hPa,Humid,34,0
3083927,6/10/19 8:48:53,16.255,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.776,µmol/L,26.456,¡C,1015.000,hPa,Humid,34,0
3083937,6/10/19 8:48:56,16.305,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.808,µmol/L,26.459,¡C,1015.000,hPa,Humid,34,0
3083947,6/10/19 8:48:59,16.355,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.847,µmol/L,26.439,¡C,1015.000,hPa,Humid,34,0
3083957,6/10/19 8:49:02,16.405,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.818,µmol/L,26.445,¡C,1015.000,hPa,Humid,34,0
3083967,6/10/19 8:49:05,16.454,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.807,µmol/L,26.434,¡C,1015.000,hPa,Humid,34,0
3083977,6/10/19 8:49:08,16.504,SABD0000000003 (OXY-10 ST),5,Gates5 (PSt7-10),4/10/19 11:14:46,default,57.816,µmol/L,26.429,¡C,1015.000,hPa,Humid,34,0
