Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3105204,7/10/19 8:53:11,0.000,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.312,µmol/L,26.090,¡C,1015.000,hPa,Humid,34,0
3105214,7/10/19 8:53:14,0.044,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.270,µmol/L,26.121,¡C,1015.000,hPa,Humid,34,0
3105224,7/10/19 8:53:17,0.094,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.292,µmol/L,26.107,¡C,1015.000,hPa,Humid,34,0
3105234,7/10/19 8:53:20,0.144,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.290,µmol/L,26.104,¡C,1015.000,hPa,Humid,34,0
3105244,7/10/19 8:53:23,0.194,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.299,µmol/L,26.125,¡C,1015.000,hPa,Humid,34,0
3105254,7/10/19 8:53:26,0.245,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.351,µmol/L,26.094,¡C,1015.000,hPa,Humid,34,0
3105264,7/10/19 8:53:29,0.294,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.322,µmol/L,26.099,¡C,1015.000,hPa,Humid,34,0
3105274,7/10/19 8:53:32,0.344,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.322,µmol/L,26.121,¡C,1015.000,hPa,Humid,34,0
3105284,7/10/19 8:53:35,0.394,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.345,µmol/L,26.109,¡C,1015.000,hPa,Humid,34,0
3105294,7/10/19 8:53:38,0.444,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.338,µmol/L,26.103,¡C,1015.000,hPa,Humid,34,0
3105304,7/10/19 8:53:41,0.495,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.317,µmol/L,26.105,¡C,1015.000,hPa,Humid,34,0
3105314,7/10/19 8:53:44,0.545,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.356,µmol/L,26.099,¡C,1015.000,hPa,Humid,34,0
3105324,7/10/19 8:53:47,0.594,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.328,µmol/L,26.102,¡C,1015.000,hPa,Humid,34,0
3105334,7/10/19 8:53:50,0.644,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.361,µmol/L,26.088,¡C,1015.000,hPa,Humid,34,0
3105344,7/10/19 8:53:53,0.694,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.372,µmol/L,26.096,¡C,1015.000,hPa,Humid,34,0
3105354,7/10/19 8:53:56,0.745,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.367,µmol/L,26.103,¡C,1015.000,hPa,Humid,34,0
3105364,7/10/19 8:53:59,0.794,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.383,µmol/L,26.093,¡C,1015.000,hPa,Humid,34,0
3105374,7/10/19 8:54:02,0.844,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.396,µmol/L,26.084,¡C,1015.000,hPa,Humid,34,0
3105384,7/10/19 8:54:05,0.894,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.398,µmol/L,26.098,¡C,1015.000,hPa,Humid,34,0
3105394,7/10/19 8:54:08,0.944,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.422,µmol/L,26.078,¡C,1015.000,hPa,Humid,34,0
3105404,7/10/19 8:54:11,0.994,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.397,µmol/L,26.106,¡C,1015.000,hPa,Humid,34,0
3105414,7/10/19 8:54:14,1.045,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.425,µmol/L,26.099,¡C,1015.000,hPa,Humid,34,0
3105424,7/10/19 8:54:17,1.094,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.409,µmol/L,26.102,¡C,1015.000,hPa,Humid,34,0
3105434,7/10/19 8:54:20,1.144,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.420,µmol/L,26.102,¡C,1015.000,hPa,Humid,34,0
3105444,7/10/19 8:54:23,1.194,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.410,µmol/L,26.094,¡C,1015.000,hPa,Humid,34,0
3105454,7/10/19 8:54:26,1.245,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.427,µmol/L,26.083,¡C,1015.000,hPa,Humid,34,0
3105464,7/10/19 8:54:29,1.295,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.401,µmol/L,26.111,¡C,1015.000,hPa,Humid,34,0
3105474,7/10/19 8:54:32,1.344,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.435,µmol/L,26.100,¡C,1015.000,hPa,Humid,34,0
3105484,7/10/19 8:54:35,1.395,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.467,µmol/L,26.091,¡C,1015.000,hPa,Humid,34,0
3105494,7/10/19 8:54:38,1.444,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.497,µmol/L,26.090,¡C,1015.000,hPa,Humid,34,0
3105504,7/10/19 8:54:41,1.494,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.449,µmol/L,26.098,¡C,1015.000,hPa,Humid,34,0
3105514,7/10/19 8:54:44,1.544,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.497,µmol/L,26.075,¡C,1015.000,hPa,Humid,34,0
3105524,7/10/19 8:54:47,1.595,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.532,µmol/L,26.067,¡C,1015.000,hPa,Humid,34,0
3105534,7/10/19 8:54:50,1.645,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.525,µmol/L,26.083,¡C,1015.000,hPa,Humid,34,0
3105544,7/10/19 8:54:53,1.694,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.513,µmol/L,26.094,¡C,1015.000,hPa,Humid,34,0
3105554,7/10/19 8:54:56,1.744,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.555,µmol/L,26.086,¡C,1015.000,hPa,Humid,34,0
3105564,7/10/19 8:54:59,1.795,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.467,µmol/L,26.101,¡C,1015.000,hPa,Humid,34,0
3105574,7/10/19 8:55:02,1.844,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.508,µmol/L,26.094,¡C,1015.000,hPa,Humid,34,0
3105584,7/10/19 8:55:05,1.894,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.540,µmol/L,26.084,¡C,1015.000,hPa,Humid,34,0
3105594,7/10/19 8:55:08,1.944,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.582,µmol/L,26.079,¡C,1015.000,hPa,Humid,34,0
3105604,7/10/19 8:55:11,1.995,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.549,µmol/L,26.085,¡C,1015.000,hPa,Humid,34,0
3105614,7/10/19 8:55:14,2.044,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.549,µmol/L,26.079,¡C,1015.000,hPa,Humid,34,0
3105624,7/10/19 8:55:17,2.094,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.573,µmol/L,26.082,¡C,1015.000,hPa,Humid,34,0
3105634,7/10/19 8:55:20,2.144,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.563,µmol/L,26.088,¡C,1015.000,hPa,Humid,34,0
3105644,7/10/19 8:55:23,2.195,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.581,µmol/L,26.076,¡C,1015.000,hPa,Humid,34,0
3105654,7/10/19 8:55:26,2.244,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.585,µmol/L,26.081,¡C,1015.000,hPa,Humid,34,0
3105664,7/10/19 8:55:29,2.294,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.574,µmol/L,26.084,¡C,1015.000,hPa,Humid,34,0
3105674,7/10/19 8:55:32,2.345,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.563,µmol/L,26.095,¡C,1015.000,hPa,Humid,34,0
3105684,7/10/19 8:55:35,2.394,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.593,µmol/L,26.072,¡C,1015.000,hPa,Humid,34,0
3105694,7/10/19 8:55:38,2.444,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.609,µmol/L,26.073,¡C,1015.000,hPa,Humid,34,0
3105704,7/10/19 8:55:41,2.494,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.645,µmol/L,26.072,¡C,1015.000,hPa,Humid,34,0
3105714,7/10/19 8:55:44,2.544,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.652,µmol/L,26.053,¡C,1015.000,hPa,Humid,34,0
3105724,7/10/19 8:55:47,2.595,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.617,µmol/L,26.090,¡C,1015.000,hPa,Humid,34,0
3105734,7/10/19 8:55:50,2.644,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.648,µmol/L,26.074,¡C,1015.000,hPa,Humid,34,0
3105744,7/10/19 8:55:53,2.694,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.652,µmol/L,26.068,¡C,1015.000,hPa,Humid,34,0
3105754,7/10/19 8:55:56,2.745,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),4/10/19 11:15:07,default,61.642,µmol/L,26.081,¡C,1015.000,hPa,Humid,34,0
