Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3127651,7/10/19 11:07:05,0.000,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,84.943,µmol/L,26.875,¡C,1015.000,hPa,Humid,34,0
3127661,7/10/19 11:07:09,0.051,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,84.944,µmol/L,26.897,¡C,1015.000,hPa,Humid,34,0
3127671,7/10/19 11:07:12,0.101,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,84.923,µmol/L,26.895,¡C,1015.000,hPa,Humid,34,0
3127681,7/10/19 11:07:15,0.152,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,84.971,µmol/L,26.896,¡C,1015.000,hPa,Humid,34,0
3127691,7/10/19 11:07:18,0.201,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.011,µmol/L,26.881,¡C,1015.000,hPa,Humid,34,0
3127701,7/10/19 11:07:21,0.251,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.076,µmol/L,26.863,¡C,1015.000,hPa,Humid,34,0
3127711,7/10/19 11:07:24,0.301,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.159,µmol/L,26.856,¡C,1015.000,hPa,Humid,34,0
3127721,7/10/19 11:07:27,0.351,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.070,µmol/L,26.881,¡C,1015.000,hPa,Humid,34,0
3127731,7/10/19 11:07:30,0.401,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.066,µmol/L,26.890,¡C,1015.000,hPa,Humid,34,0
3127741,7/10/19 11:07:33,0.451,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.137,µmol/L,26.866,¡C,1015.000,hPa,Humid,34,0
3127751,7/10/19 11:07:36,0.501,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.115,µmol/L,26.883,¡C,1015.000,hPa,Humid,34,0
3127761,7/10/19 11:07:39,0.551,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.146,µmol/L,26.877,¡C,1015.000,hPa,Humid,34,0
3127771,7/10/19 11:07:42,0.601,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.132,µmol/L,26.868,¡C,1015.000,hPa,Humid,34,0
3127781,7/10/19 11:07:45,0.651,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.160,µmol/L,26.871,¡C,1015.000,hPa,Humid,34,0
3127791,7/10/19 11:07:48,0.701,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.216,µmol/L,26.864,¡C,1015.000,hPa,Humid,34,0
3127801,7/10/19 11:07:51,0.751,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.236,µmol/L,26.848,¡C,1015.000,hPa,Humid,34,0
3127811,7/10/19 11:07:54,0.801,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.225,µmol/L,26.860,¡C,1015.000,hPa,Humid,34,0
3127821,7/10/19 11:07:57,0.851,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.238,µmol/L,26.847,¡C,1015.000,hPa,Humid,34,0
3127831,7/10/19 11:08:00,0.901,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.253,µmol/L,26.855,¡C,1015.000,hPa,Humid,34,0
3127841,7/10/19 11:08:03,0.951,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.248,µmol/L,26.842,¡C,1015.000,hPa,Humid,34,0
3127851,7/10/19 11:08:06,1.001,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.200,µmol/L,26.849,¡C,1015.000,hPa,Humid,34,0
3127861,7/10/19 11:08:09,1.051,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.262,µmol/L,26.843,¡C,1015.000,hPa,Humid,34,0
3127871,7/10/19 11:08:12,1.101,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.234,µmol/L,26.852,¡C,1015.000,hPa,Humid,34,0
3127881,7/10/19 11:08:15,1.151,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.187,µmol/L,26.836,¡C,1015.000,hPa,Humid,34,0
3127891,7/10/19 11:08:18,1.201,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.211,µmol/L,26.844,¡C,1015.000,hPa,Humid,34,0
3127901,7/10/19 11:08:21,1.251,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,85.239,µmol/L,26.832,¡C,1015.000,hPa,Humid,34,0
