Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3238972,19/10/19 10:30:53,0.000,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,136.998,µmol/L,22.993,¡C,1019.000,hPa,Humid,0,0
3238982,19/10/19 10:30:56,0.044,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,137.083,µmol/L,22.987,¡C,1019.000,hPa,Humid,0,0
3238992,19/10/19 10:30:59,0.095,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,137.997,µmol/L,22.983,¡C,1019.000,hPa,Humid,0,0
3239002,19/10/19 10:31:02,0.145,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,136.892,µmol/L,23.001,¡C,1019.000,hPa,Humid,0,0
3239012,19/10/19 10:31:05,0.195,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,137.008,µmol/L,23.003,¡C,1019.000,hPa,Humid,0,0
3239022,19/10/19 10:31:08,0.245,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,137.532,µmol/L,23.004,¡C,1019.000,hPa,Humid,0,0
3239032,19/10/19 10:31:11,0.295,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,135.864,µmol/L,23.000,¡C,1019.000,hPa,Humid,0,0
3239042,19/10/19 10:31:14,0.345,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,138.060,µmol/L,23.000,¡C,1019.000,hPa,Humid,0,0
3239052,19/10/19 10:31:17,0.394,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,137.386,µmol/L,23.000,¡C,1019.000,hPa,Humid,0,0
3239062,19/10/19 10:31:20,0.445,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),19/10/19 8:03:01,default,138.285,µmol/L,23.014,¡C,1019.000,hPa,Humid,0,0
