Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3258957,20/10/19 9:01:11,0.000,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.637,µmol/L,26.522,¡C,1018.000,hPa,Humid,34,0
3258967,20/10/19 9:01:14,0.048,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.579,µmol/L,26.511,¡C,1018.000,hPa,Humid,34,0
3258977,20/10/19 9:01:17,0.098,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.514,µmol/L,26.524,¡C,1018.000,hPa,Humid,34,0
3258987,20/10/19 9:01:20,0.148,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.363,µmol/L,26.526,¡C,1018.000,hPa,Humid,34,0
3258997,20/10/19 9:01:23,0.199,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.359,µmol/L,26.517,¡C,1018.000,hPa,Humid,34,0
3259007,20/10/19 9:01:26,0.248,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.351,µmol/L,26.500,¡C,1018.000,hPa,Humid,34,0
3259017,20/10/19 9:01:29,0.298,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.287,µmol/L,26.506,¡C,1018.000,hPa,Humid,34,0
3259027,20/10/19 9:01:32,0.348,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.239,µmol/L,26.509,¡C,1018.000,hPa,Humid,34,0
3259037,20/10/19 9:01:35,0.398,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.207,µmol/L,26.513,¡C,1018.000,hPa,Humid,34,0
3259047,20/10/19 9:01:38,0.448,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.175,µmol/L,26.508,¡C,1018.000,hPa,Humid,34,0
3259057,20/10/19 9:01:41,0.498,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.237,µmol/L,26.506,¡C,1018.000,hPa,Humid,34,0
3259067,20/10/19 9:01:44,0.548,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.106,µmol/L,26.493,¡C,1018.000,hPa,Humid,34,0
3259077,20/10/19 9:01:47,0.599,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.083,µmol/L,26.509,¡C,1018.000,hPa,Humid,34,0
3259087,20/10/19 9:01:50,0.648,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.034,µmol/L,26.511,¡C,1018.000,hPa,Humid,34,0
3259097,20/10/19 9:01:53,0.698,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.983,µmol/L,26.505,¡C,1018.000,hPa,Humid,34,0
3259107,20/10/19 9:01:56,0.748,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,95.015,µmol/L,26.503,¡C,1018.000,hPa,Humid,34,0
3259117,20/10/19 9:01:59,0.799,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.932,µmol/L,26.501,¡C,1018.000,hPa,Humid,34,0
3259127,20/10/19 9:02:02,0.848,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.917,µmol/L,26.489,¡C,1018.000,hPa,Humid,34,0
3259137,20/10/19 9:02:05,0.898,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.798,µmol/L,26.506,¡C,1018.000,hPa,Humid,34,0
3259147,20/10/19 9:02:08,0.948,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.765,µmol/L,26.514,¡C,1018.000,hPa,Humid,34,0
3259157,20/10/19 9:02:11,0.998,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.765,µmol/L,26.511,¡C,1018.000,hPa,Humid,34,0
3259167,20/10/19 9:02:14,1.048,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.736,µmol/L,26.496,¡C,1018.000,hPa,Humid,34,0
3259177,20/10/19 9:02:17,1.098,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.762,µmol/L,26.483,¡C,1018.000,hPa,Humid,34,0
3259187,20/10/19 9:02:20,1.149,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.788,µmol/L,26.495,¡C,1018.000,hPa,Humid,34,0
3259197,20/10/19 9:02:23,1.199,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.796,µmol/L,26.477,¡C,1018.000,hPa,Humid,34,0
3259207,20/10/19 9:02:26,1.248,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.674,µmol/L,26.512,¡C,1018.000,hPa,Humid,34,0
3259217,20/10/19 9:02:29,1.298,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.658,µmol/L,26.502,¡C,1018.000,hPa,Humid,34,0
3259227,20/10/19 9:02:32,1.348,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.645,µmol/L,26.506,¡C,1018.000,hPa,Humid,34,0
3259237,20/10/19 9:02:35,1.398,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.664,µmol/L,26.491,¡C,1018.000,hPa,Humid,34,0
3259247,20/10/19 9:02:38,1.448,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.682,µmol/L,26.490,¡C,1018.000,hPa,Humid,34,0
3259257,20/10/19 9:02:41,1.498,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.634,µmol/L,26.472,¡C,1018.000,hPa,Humid,34,0
3259267,20/10/19 9:02:44,1.548,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.600,µmol/L,26.501,¡C,1018.000,hPa,Humid,34,0
3259277,20/10/19 9:02:47,1.598,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.592,µmol/L,26.496,¡C,1018.000,hPa,Humid,34,0
3259287,20/10/19 9:02:50,1.648,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.589,µmol/L,26.487,¡C,1018.000,hPa,Humid,34,0
3259297,20/10/19 9:02:53,1.699,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.540,µmol/L,26.497,¡C,1018.000,hPa,Humid,34,0
3259307,20/10/19 9:02:56,1.749,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.511,µmol/L,26.481,¡C,1018.000,hPa,Humid,34,0
3259317,20/10/19 9:02:59,1.798,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.556,µmol/L,26.483,¡C,1018.000,hPa,Humid,34,0
3259327,20/10/19 9:03:02,1.848,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.521,µmol/L,26.495,¡C,1018.000,hPa,Humid,34,0
3259337,20/10/19 9:03:05,1.898,SABD0000000003 (OXY-10 ST),2,Gates2 (PSt7-10),19/10/19 8:02:21,default,94.518,µmol/L,26.486,¡C,1018.000,hPa,Humid,34,0
