Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3277118,20/10/19 10:51:59,0.000,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,92.747,µmol/L,26.586,¡C,1018.000,hPa,Humid,34,0
3277129,20/10/19 10:52:03,0.052,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,92.139,µmol/L,26.601,¡C,1018.000,hPa,Humid,34,0
3277139,20/10/19 10:52:06,0.102,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,91.534,µmol/L,26.599,¡C,1018.000,hPa,Humid,34,0
3277149,20/10/19 10:52:09,0.152,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,91.178,µmol/L,26.584,¡C,1018.000,hPa,Humid,34,0
3277159,20/10/19 10:52:12,0.202,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,90.719,µmol/L,26.599,¡C,1018.000,hPa,Humid,34,0
3277169,20/10/19 10:52:15,0.252,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,90.312,µmol/L,26.598,¡C,1018.000,hPa,Humid,34,0
3277179,20/10/19 10:52:18,0.302,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,89.874,µmol/L,26.598,¡C,1018.000,hPa,Humid,34,0
3277189,20/10/19 10:52:21,0.352,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,89.602,µmol/L,26.595,¡C,1018.000,hPa,Humid,34,0
3277199,20/10/19 10:52:24,0.402,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,89.392,µmol/L,26.594,¡C,1018.000,hPa,Humid,34,0
3277209,20/10/19 10:52:27,0.452,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,89.156,µmol/L,26.585,¡C,1018.000,hPa,Humid,34,0
3277219,20/10/19 10:52:30,0.502,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.898,µmol/L,26.586,¡C,1018.000,hPa,Humid,34,0
3277229,20/10/19 10:52:33,0.552,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.682,µmol/L,26.590,¡C,1018.000,hPa,Humid,34,0
3277238,20/10/19 10:52:36,0.602,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.500,µmol/L,26.594,¡C,1018.000,hPa,Humid,34,0
3277248,20/10/19 10:52:39,0.653,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.394,µmol/L,26.582,¡C,1018.000,hPa,Humid,34,0
3277259,20/10/19 10:52:42,0.702,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.135,µmol/L,26.593,¡C,1018.000,hPa,Humid,34,0
3277269,20/10/19 10:52:45,0.752,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,88.038,µmol/L,26.593,¡C,1018.000,hPa,Humid,34,0
3277279,20/10/19 10:52:48,0.802,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,87.989,µmol/L,26.568,¡C,1018.000,hPa,Humid,34,0
3277288,20/10/19 10:52:51,0.852,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,87.813,µmol/L,26.585,¡C,1018.000,hPa,Humid,34,0
3277298,20/10/19 10:52:54,0.902,SABD0000000003 (OXY-10 ST),9,Gates9 (PSt7-10),19/10/19 8:03:07,default,87.714,µmol/L,26.578,¡C,1018.000,hPa,Humid,34,0
