Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3330477,1/11/19 9:48:54,0.000,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,143.541,µmol/L,22.435,¡C,1013.000,hPa,Humid,0,0
3330487,1/11/19 9:48:57,0.050,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,143.240,µmol/L,22.432,¡C,1013.000,hPa,Humid,0,0
3330497,1/11/19 9:49:00,0.100,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,143.115,µmol/L,22.441,¡C,1014.000,hPa,Humid,0,0
3330507,1/11/19 9:49:03,0.150,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.964,µmol/L,22.432,¡C,1013.000,hPa,Humid,0,0
3330517,1/11/19 9:49:06,0.200,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.977,µmol/L,22.420,¡C,1013.000,hPa,Humid,0,0
3330527,1/11/19 9:49:09,0.251,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.555,µmol/L,22.451,¡C,1013.000,hPa,Humid,0,0
3330537,1/11/19 9:49:12,0.300,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.697,µmol/L,22.417,¡C,1013.000,hPa,Humid,0,0
3330547,1/11/19 9:49:15,0.350,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.516,µmol/L,22.422,¡C,1013.000,hPa,Humid,0,0
3330557,1/11/19 9:49:18,0.400,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.375,µmol/L,22.436,¡C,1013.000,hPa,Humid,0,0
3330567,1/11/19 9:49:21,0.450,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.269,µmol/L,22.440,¡C,1013.000,hPa,Humid,0,0
3330577,1/11/19 9:49:24,0.500,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.110,µmol/L,22.440,¡C,1013.000,hPa,Humid,0,0
3330587,1/11/19 9:49:27,0.550,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.008,µmol/L,22.444,¡C,1013.000,hPa,Humid,0,0
3330597,1/11/19 9:49:30,0.601,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.138,µmol/L,22.438,¡C,1013.000,hPa,Humid,0,0
3330607,1/11/19 9:49:33,0.650,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,142.029,µmol/L,22.440,¡C,1013.000,hPa,Humid,0,0
3330617,1/11/19 9:49:36,0.701,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.902,µmol/L,22.441,¡C,1013.000,hPa,Humid,0,0
3330627,1/11/19 9:49:39,0.751,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.763,µmol/L,22.461,¡C,1013.000,hPa,Humid,0,0
3330637,1/11/19 9:49:42,0.801,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.672,µmol/L,22.456,¡C,1013.000,hPa,Humid,0,0
3330647,1/11/19 9:49:45,0.851,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.810,µmol/L,22.452,¡C,1013.000,hPa,Humid,0,0
3330657,1/11/19 9:49:48,0.900,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.660,µmol/L,22.451,¡C,1013.000,hPa,Humid,0,0
3330667,1/11/19 9:49:51,0.950,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.581,µmol/L,22.457,¡C,1013.000,hPa,Humid,0,0
3330677,1/11/19 9:49:54,1.000,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.542,µmol/L,22.454,¡C,1013.000,hPa,Humid,0,0
3330687,1/11/19 9:49:57,1.050,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.450,µmol/L,22.476,¡C,1013.000,hPa,Humid,0,0
3330697,1/11/19 9:50:00,1.100,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.514,µmol/L,22.456,¡C,1013.000,hPa,Humid,0,0
3330707,1/11/19 9:50:03,1.150,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.468,µmol/L,22.449,¡C,1013.000,hPa,Humid,0,0
3330717,1/11/19 9:50:06,1.201,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.463,µmol/L,22.450,¡C,1013.000,hPa,Humid,0,0
3330727,1/11/19 9:50:09,1.250,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.457,µmol/L,22.454,¡C,1013.000,hPa,Humid,0,0
3330737,1/11/19 9:50:12,1.300,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.382,µmol/L,22.466,¡C,1013.000,hPa,Humid,0,0
3330747,1/11/19 9:50:15,1.350,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.246,µmol/L,22.475,¡C,1013.000,hPa,Humid,0,0
3330757,1/11/19 9:50:18,1.401,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,141.219,µmol/L,22.467,¡C,1013.000,hPa,Humid,0,0
3330767,1/11/19 10:04:02,15.134,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.029,µmol/L,26.852,¡C,1013.000,hPa,Humid,0,0
3330777,1/11/19 10:04:05,15.184,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.084,µmol/L,26.846,¡C,1013.000,hPa,Humid,0,0
3330787,1/11/19 10:04:08,15.234,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.116,µmol/L,26.838,¡C,1013.000,hPa,Humid,0,0
3330797,1/11/19 10:04:11,15.284,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.035,µmol/L,26.858,¡C,1013.000,hPa,Humid,0,0
3330807,1/11/19 10:04:14,15.334,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.040,µmol/L,26.842,¡C,1013.000,hPa,Humid,0,0
3330817,1/11/19 10:04:17,15.384,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.062,µmol/L,26.855,¡C,1013.000,hPa,Humid,0,0
3330827,1/11/19 10:04:20,15.434,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.050,µmol/L,26.854,¡C,1013.000,hPa,Humid,0,0
3330837,1/11/19 10:04:23,15.483,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.018,µmol/L,26.851,¡C,1013.000,hPa,Humid,0,0
3330847,1/11/19 10:04:26,15.534,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.068,µmol/L,26.828,¡C,1013.000,hPa,Humid,0,0
3330857,1/11/19 10:04:29,15.584,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.121,µmol/L,26.826,¡C,1013.000,hPa,Humid,0,0
3330867,1/11/19 10:04:32,15.633,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.014,µmol/L,26.834,¡C,1013.000,hPa,Humid,0,0
3330877,1/11/19 10:04:35,15.683,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.111,µmol/L,26.825,¡C,1013.000,hPa,Humid,0,0
3330887,1/11/19 10:04:38,15.734,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),1/11/19 9:32:37,default,123.206,µmol/L,26.835,¡C,1013.000,hPa,Humid,0,0
