Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3347228,1/11/19 11:46:08,0.000,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.477,µmol/L,27.427,¡C,1012.000,hPa,Humid,34,0
3347238,1/11/19 11:46:11,0.049,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.423,µmol/L,27.431,¡C,1012.000,hPa,Humid,34,0
3347248,1/11/19 11:46:14,0.099,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.460,µmol/L,27.428,¡C,1012.000,hPa,Humid,34,0
3347258,1/11/19 11:46:17,0.150,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.549,µmol/L,27.413,¡C,1012.000,hPa,Humid,34,0
3347268,1/11/19 11:46:20,0.200,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.574,µmol/L,27.431,¡C,1012.000,hPa,Humid,34,0
3347278,1/11/19 11:46:23,0.249,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.672,µmol/L,27.414,¡C,1012.000,hPa,Humid,34,0
3347288,1/11/19 11:46:26,0.299,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.787,µmol/L,27.406,¡C,1012.000,hPa,Humid,34,0
3347298,1/11/19 11:46:29,0.349,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.731,µmol/L,27.429,¡C,1012.000,hPa,Humid,34,0
3347308,1/11/19 11:46:32,0.399,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.764,µmol/L,27.420,¡C,1012.000,hPa,Humid,34,0
3347318,1/11/19 11:46:35,0.449,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.888,µmol/L,27.409,¡C,1012.000,hPa,Humid,34,0
3347328,1/11/19 11:46:38,0.499,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,120.925,µmol/L,27.413,¡C,1012.000,hPa,Humid,34,0
3347338,1/11/19 11:46:41,0.549,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,121.055,µmol/L,27.405,¡C,1012.000,hPa,Humid,34,0
3347348,1/11/19 11:46:44,0.599,SABD0000000003 (OXY-10 ST),10,Gates10 (PSt7-10),1/11/19 9:32:51,default,121.117,µmol/L,27.395,¡C,1012.000,hPa,Humid,34,0
