Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3361744,1/11/19 13:15:02,0.000,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,104.782,µmol/L,27.323,¡C,1011.000,hPa,Humid,34,0
3361754,1/11/19 13:15:05,0.000,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,104.849,µmol/L,27.325,¡C,1011.000,hPa,Humid,34,0
3361764,1/11/19 13:15:08,0.095,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,105.254,µmol/L,27.335,¡C,1011.000,hPa,Humid,34,0
3361774,1/11/19 13:15:11,0.145,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,105.591,µmol/L,27.319,¡C,1011.000,hPa,Humid,34,0
3361784,1/11/19 13:15:14,0.195,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,105.606,µmol/L,27.344,¡C,1011.000,hPa,Humid,34,0
3361794,1/11/19 13:15:17,0.245,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,105.979,µmol/L,27.328,¡C,1011.000,hPa,Humid,34,0
3361804,1/11/19 13:15:20,0.295,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,106.233,µmol/L,27.330,¡C,1011.000,hPa,Humid,34,0
3361814,1/11/19 13:15:23,0.345,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,106.644,µmol/L,27.336,¡C,1011.000,hPa,Humid,34,0
3361824,1/11/19 13:15:26,0.395,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,107.095,µmol/L,27.314,¡C,1011.000,hPa,Humid,34,0
3361834,1/11/19 13:15:29,0.445,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,107.363,µmol/L,27.310,¡C,1011.000,hPa,Humid,34,0
3361844,1/11/19 13:15:32,0.495,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,107.611,µmol/L,27.313,¡C,1011.000,hPa,Humid,34,0
3361854,1/11/19 13:15:35,0.545,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,107.855,µmol/L,27.320,¡C,1011.000,hPa,Humid,34,0
3361864,1/11/19 13:15:38,0.595,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,108.253,µmol/L,27.312,¡C,1011.000,hPa,Humid,34,0
3361874,1/11/19 13:15:41,0.645,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,108.615,µmol/L,27.303,¡C,1011.000,hPa,Humid,34,0
3361884,1/11/19 13:15:44,0.695,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,108.826,µmol/L,27.312,¡C,1011.000,hPa,Humid,34,0
3361894,1/11/19 13:15:47,0.745,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,109.259,µmol/L,27.298,¡C,1011.000,hPa,Humid,34,0
3361904,1/11/19 13:15:50,0.795,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,109.453,µmol/L,27.304,¡C,1011.000,hPa,Humid,34,0
3361914,1/11/19 13:15:53,0.845,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,109.541,µmol/L,27.306,¡C,1011.000,hPa,Humid,34,0
3361924,1/11/19 13:15:56,0.895,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,109.923,µmol/L,27.298,¡C,1011.000,hPa,Humid,34,0
3361934,1/11/19 13:15:59,0.945,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,110.062,µmol/L,27.292,¡C,1011.000,hPa,Humid,34,0
3361944,1/11/19 13:16:02,0.995,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,110.198,µmol/L,27.307,¡C,1011.000,hPa,Humid,34,0
3361954,1/11/19 13:16:05,1.045,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,110.602,µmol/L,27.288,¡C,1011.000,hPa,Humid,34,0
3361964,1/11/19 13:16:08,1.095,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,110.919,µmol/L,27.287,¡C,1011.000,hPa,Humid,34,0
3361974,1/11/19 13:16:11,1.145,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,110.837,µmol/L,27.308,¡C,1011.000,hPa,Humid,34,0
3361984,1/11/19 13:16:14,1.195,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.070,µmol/L,27.293,¡C,1011.000,hPa,Humid,34,0
3361994,1/11/19 13:16:17,1.245,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.460,µmol/L,27.288,¡C,1011.000,hPa,Humid,34,0
3362004,1/11/19 13:16:20,1.295,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.434,µmol/L,27.285,¡C,1011.000,hPa,Humid,34,0
3362014,1/11/19 13:16:23,1.345,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.738,µmol/L,27.280,¡C,1011.000,hPa,Humid,34,0
3362024,1/11/19 13:16:26,1.395,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.855,µmol/L,27.292,¡C,1011.000,hPa,Humid,34,0
3362034,1/11/19 13:16:29,1.445,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,111.976,µmol/L,27.296,¡C,1011.000,hPa,Humid,34,0
3362044,1/11/19 13:16:32,1.495,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,112.106,µmol/L,27.292,¡C,1011.000,hPa,Humid,34,0
3362054,1/11/19 13:16:35,1.545,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,112.442,µmol/L,27.292,¡C,1011.000,hPa,Humid,34,0
3362064,1/11/19 13:16:38,1.595,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,112.528,µmol/L,27.284,¡C,1011.000,hPa,Humid,34,0
3362074,1/11/19 13:16:41,1.645,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,112.589,µmol/L,27.288,¡C,1011.000,hPa,Humid,34,0
3362084,1/11/19 13:16:44,1.695,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,112.862,µmol/L,27.281,¡C,1011.000,hPa,Humid,34,0
3362094,1/11/19 13:16:47,1.745,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.178,µmol/L,27.258,¡C,1011.000,hPa,Humid,34,0
3362104,1/11/19 13:16:50,1.795,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.228,µmol/L,27.291,¡C,1011.000,hPa,Humid,34,0
3362114,1/11/19 13:16:53,1.845,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.419,µmol/L,27.290,¡C,1011.000,hPa,Humid,34,0
3362124,1/11/19 13:16:56,1.895,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.608,µmol/L,27.277,¡C,1011.000,hPa,Humid,34,0
3362134,1/11/19 13:16:59,1.945,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.672,µmol/L,27.270,¡C,1011.000,hPa,Humid,34,0
3362144,1/11/19 13:17:02,1.995,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.779,µmol/L,27.266,¡C,1011.000,hPa,Humid,34,0
3362154,1/11/19 13:17:05,2.045,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.012,µmol/L,27.256,¡C,1011.000,hPa,Humid,34,0
3362164,1/11/19 13:17:08,2.095,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,113.913,µmol/L,27.279,¡C,1011.000,hPa,Humid,34,0
3362174,1/11/19 13:17:11,2.145,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.079,µmol/L,27.269,¡C,1011.000,hPa,Humid,34,0
3362184,1/11/19 13:17:14,2.195,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.212,µmol/L,27.258,¡C,1011.000,hPa,Humid,34,0
3362194,1/11/19 13:17:17,2.245,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.206,µmol/L,27.259,¡C,1011.000,hPa,Humid,34,0
3362204,1/11/19 13:17:20,2.295,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.379,µmol/L,27.249,¡C,1011.000,hPa,Humid,34,0
3362214,1/11/19 13:17:23,2.345,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.416,µmol/L,27.256,¡C,1011.000,hPa,Humid,34,0
3362224,1/11/19 13:17:26,2.395,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.424,µmol/L,27.252,¡C,1011.000,hPa,Humid,34,0
3362234,1/11/19 13:17:29,2.445,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.320,µmol/L,27.289,¡C,1011.000,hPa,Humid,34,0
3362244,1/11/19 13:17:32,2.495,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),1/11/19 10:03:07,default,114.560,µmol/L,27.261,¡C,1011.000,hPa,Humid,34,0
