Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2895189,17/9/19 15:35:53,0.000,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.426,µmol/L,28.673,¡C,1015.000,hPa,Humid,34,0
2895199,17/9/19 15:35:57,0.050,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.313,µmol/L,28.661,¡C,1015.000,hPa,Humid,34,0
2895209,17/9/19 15:36:00,0.100,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.295,µmol/L,28.681,¡C,1015.000,hPa,Humid,34,0
2895219,17/9/19 15:36:03,0.150,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.460,µmol/L,28.652,¡C,1015.000,hPa,Humid,34,0
2895229,17/9/19 15:36:06,0.201,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.221,µmol/L,28.674,¡C,1015.000,hPa,Humid,34,0
2895239,17/9/19 15:36:09,0.250,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.206,µmol/L,28.674,¡C,1015.000,hPa,Humid,34,0
2895249,17/9/19 15:36:12,0.300,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.246,µmol/L,28.665,¡C,1015.000,hPa,Humid,34,0
2895259,17/9/19 15:36:15,0.351,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.321,µmol/L,28.683,¡C,1015.000,hPa,Humid,34,0
2895269,17/9/19 15:36:18,0.401,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.314,µmol/L,28.658,¡C,1015.000,hPa,Humid,34,0
2895279,17/9/19 15:36:21,0.451,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.228,µmol/L,28.665,¡C,1015.000,hPa,Humid,34,0
2895289,17/9/19 15:36:24,0.501,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.093,µmol/L,28.670,¡C,1015.000,hPa,Humid,34,0
2895299,17/9/19 15:36:27,0.551,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.106,µmol/L,28.660,¡C,1015.000,hPa,Humid,34,0
2895309,17/9/19 15:36:30,0.601,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.280,µmol/L,28.671,¡C,1015.000,hPa,Humid,34,0
2895319,17/9/19 15:36:33,0.650,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.204,µmol/L,28.674,¡C,1015.000,hPa,Humid,34,0
2895329,17/9/19 15:36:36,0.701,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.250,µmol/L,28.673,¡C,1015.000,hPa,Humid,34,0
2895339,17/9/19 15:36:39,0.751,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.134,µmol/L,28.661,¡C,1015.000,hPa,Humid,34,0
2895349,17/9/19 15:36:42,0.801,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,208.984,µmol/L,28.677,¡C,1015.000,hPa,Humid,34,0
2895359,17/9/19 15:36:45,0.851,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.310,µmol/L,28.648,¡C,1015.000,hPa,Humid,34,0
2895369,17/9/19 15:36:48,0.901,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.112,µmol/L,28.670,¡C,1015.000,hPa,Humid,34,0
2895379,17/9/19 15:36:51,0.951,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.099,µmol/L,28.680,¡C,1015.000,hPa,Humid,34,0
2895389,17/9/19 15:36:54,1.001,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.091,µmol/L,28.659,¡C,1015.000,hPa,Humid,34,0
2895399,17/9/19 15:36:57,1.051,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.147,µmol/L,28.665,¡C,1015.000,hPa,Humid,34,0
2895409,17/9/19 15:37:00,1.101,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.214,µmol/L,28.664,¡C,1015.000,hPa,Humid,34,0
2895419,17/9/19 15:37:03,1.151,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.195,µmol/L,28.672,¡C,1015.000,hPa,Humid,34,0
2895429,17/9/19 15:37:06,1.201,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.402,µmol/L,28.649,¡C,1015.000,hPa,Humid,34,0
2895439,17/9/19 15:37:09,1.251,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.438,µmol/L,28.663,¡C,1015.000,hPa,Humid,34,0
2895449,17/9/19 15:37:12,1.301,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.750,µmol/L,28.656,¡C,1015.000,hPa,Humid,34,0
2895459,17/9/19 15:37:15,1.351,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.781,µmol/L,28.666,¡C,1015.000,hPa,Humid,34,0
2895469,17/9/19 15:37:18,1.401,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.892,µmol/L,28.644,¡C,1015.000,hPa,Humid,34,0
2895479,17/9/19 15:37:21,1.451,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.936,µmol/L,28.669,¡C,1015.000,hPa,Humid,34,0
2895489,17/9/19 15:37:24,1.501,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.792,µmol/L,28.670,¡C,1015.000,hPa,Humid,34,0
2895499,17/9/19 15:37:27,1.550,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.977,µmol/L,28.649,¡C,1015.000,hPa,Humid,34,0
2895509,17/9/19 15:37:30,1.601,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.905,µmol/L,28.662,¡C,1015.000,hPa,Humid,34,0
2895519,17/9/19 15:37:33,1.651,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.038,µmol/L,28.652,¡C,1015.000,hPa,Humid,34,0
2895529,17/9/19 15:37:36,1.700,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.249,µmol/L,28.631,¡C,1015.000,hPa,Humid,34,0
2895539,17/9/19 15:37:39,1.751,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.074,µmol/L,28.641,¡C,1015.000,hPa,Humid,34,0
2895549,17/9/19 15:37:42,1.801,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,209.924,µmol/L,28.657,¡C,1015.000,hPa,Humid,34,0
2895559,17/9/19 15:37:45,1.850,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.033,µmol/L,28.650,¡C,1015.000,hPa,Humid,34,0
2895569,17/9/19 15:37:48,1.901,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.036,µmol/L,28.644,¡C,1015.000,hPa,Humid,34,0
2895579,17/9/19 15:37:51,1.951,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.194,µmol/L,28.630,¡C,1015.000,hPa,Humid,34,0
2895589,17/9/19 15:37:54,2.001,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.031,µmol/L,28.647,¡C,1015.000,hPa,Humid,34,0
2895599,17/9/19 15:37:57,2.051,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.183,µmol/L,28.643,¡C,1015.000,hPa,Humid,34,0
2895609,17/9/19 15:38:00,2.101,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.199,µmol/L,28.643,¡C,1015.000,hPa,Humid,34,0
2895619,17/9/19 15:38:03,2.151,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.157,µmol/L,28.641,¡C,1015.000,hPa,Humid,34,0
2895629,17/9/19 15:38:06,2.201,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.256,µmol/L,28.646,¡C,1015.000,hPa,Humid,34,0
2895639,17/9/19 15:38:09,2.251,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.478,µmol/L,28.638,¡C,1015.000,hPa,Humid,34,0
2895649,17/9/19 15:38:12,2.301,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.514,µmol/L,28.630,¡C,1015.000,hPa,Humid,34,0
2895659,17/9/19 15:38:15,2.351,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.495,µmol/L,28.627,¡C,1015.000,hPa,Humid,34,0
2895669,17/9/19 15:38:18,2.400,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.330,µmol/L,28.636,¡C,1015.000,hPa,Humid,34,0
2895679,17/9/19 15:38:21,2.451,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.401,µmol/L,28.637,¡C,1015.000,hPa,Humid,34,0
2895689,17/9/19 15:38:24,2.500,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.225,µmol/L,28.640,¡C,1015.000,hPa,Humid,34,0
2895699,17/9/19 15:38:27,2.551,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.332,µmol/L,28.644,¡C,1015.000,hPa,Humid,34,0
2895709,17/9/19 15:38:30,2.601,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.354,µmol/L,28.633,¡C,1015.000,hPa,Humid,34,0
2895719,17/9/19 15:38:33,2.650,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.480,µmol/L,28.629,¡C,1015.000,hPa,Humid,34,0
2895729,17/9/19 15:38:36,2.700,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.151,µmol/L,28.647,¡C,1015.000,hPa,Humid,34,0
2895739,17/9/19 15:38:39,2.751,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.242,µmol/L,28.646,¡C,1015.000,hPa,Humid,34,0
2895749,17/9/19 15:38:42,2.801,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.219,µmol/L,28.649,¡C,1015.000,hPa,Humid,34,0
2895759,17/9/19 15:38:45,2.851,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.370,µmol/L,28.642,¡C,1015.000,hPa,Humid,34,0
2895769,17/9/19 15:38:48,2.901,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.338,µmol/L,28.646,¡C,1015.000,hPa,Humid,34,0
2895779,17/9/19 15:38:51,2.951,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.488,µmol/L,28.634,¡C,1015.000,hPa,Humid,34,0
2895789,17/9/19 15:38:54,3.001,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.536,µmol/L,28.632,¡C,1015.000,hPa,Humid,34,0
2895799,17/9/19 15:38:57,3.051,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.464,µmol/L,28.651,¡C,1015.000,hPa,Humid,34,0
2895809,17/9/19 15:39:00,3.101,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.696,µmol/L,28.627,¡C,1015.000,hPa,Humid,34,0
2895819,17/9/19 15:39:03,3.151,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.724,µmol/L,28.637,¡C,1015.000,hPa,Humid,34,0
2895829,17/9/19 15:39:06,3.200,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.853,µmol/L,28.633,¡C,1015.000,hPa,Humid,34,0
2895839,17/9/19 15:39:09,3.251,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.837,µmol/L,28.627,¡C,1015.000,hPa,Humid,34,0
2895849,17/9/19 15:39:12,3.301,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.849,µmol/L,28.622,¡C,1015.000,hPa,Humid,34,0
2895859,17/9/19 15:39:15,3.351,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.909,µmol/L,28.634,¡C,1015.000,hPa,Humid,34,0
2895869,17/9/19 15:39:18,3.401,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.870,µmol/L,28.633,¡C,1015.000,hPa,Humid,34,0
2895879,17/9/19 15:39:21,3.451,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.922,µmol/L,28.635,¡C,1015.000,hPa,Humid,34,0
2895889,17/9/19 15:39:24,3.501,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.835,µmol/L,28.636,¡C,1015.000,hPa,Humid,34,0
2895899,17/9/19 15:39:27,3.550,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.822,µmol/L,28.626,¡C,1015.000,hPa,Humid,34,0
2895909,17/9/19 15:39:30,3.601,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.725,µmol/L,28.637,¡C,1015.000,hPa,Humid,34,0
2895919,17/9/19 15:39:33,3.651,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.645,µmol/L,28.628,¡C,1015.000,hPa,Humid,34,0
2895929,17/9/19 15:39:36,3.700,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,210.311,µmol/L,28.625,¡C,1015.000,hPa,Humid,34,0
