Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2951118,19/9/19 8:40:26,0.000,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.616,µmol/L,27.599,¡C,1016.000,hPa,Humid,34,0
2951128,19/9/19 8:40:29,0.048,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.482,µmol/L,27.587,¡C,1016.000,hPa,Humid,34,0
2951138,19/9/19 8:40:32,0.098,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.525,µmol/L,27.583,¡C,1016.000,hPa,Humid,34,0
2951148,19/9/19 8:40:35,0.148,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.350,µmol/L,27.600,¡C,1016.000,hPa,Humid,34,0
2951158,19/9/19 8:40:38,0.198,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.404,µmol/L,27.588,¡C,1016.000,hPa,Humid,34,0
2951168,19/9/19 8:40:41,0.248,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.305,µmol/L,27.608,¡C,1016.000,hPa,Humid,34,0
2951178,19/9/19 8:40:44,0.297,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.446,µmol/L,27.584,¡C,1016.000,hPa,Humid,34,0
2951188,19/9/19 8:40:47,0.347,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.486,µmol/L,27.581,¡C,1016.000,hPa,Humid,34,0
2951198,19/9/19 8:40:50,0.398,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.510,µmol/L,27.583,¡C,1016.000,hPa,Humid,34,0
2951208,19/9/19 8:40:53,0.448,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.457,µmol/L,27.592,¡C,1016.000,hPa,Humid,34,0
2951218,19/9/19 8:40:56,0.498,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.528,µmol/L,27.577,¡C,1016.000,hPa,Humid,34,0
2951228,19/9/19 8:40:59,0.548,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.563,µmol/L,27.571,¡C,1016.000,hPa,Humid,34,0
2951238,19/9/19 8:41:02,0.598,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.420,µmol/L,27.586,¡C,1016.000,hPa,Humid,34,0
2951248,19/9/19 8:41:05,0.648,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.482,µmol/L,27.584,¡C,1016.000,hPa,Humid,34,0
2951258,19/9/19 8:41:08,0.698,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.478,µmol/L,27.567,¡C,1016.000,hPa,Humid,34,0
2951268,19/9/19 8:41:11,0.748,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.353,µmol/L,27.594,¡C,1016.000,hPa,Humid,34,0
2951278,19/9/19 8:41:14,0.798,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.540,µmol/L,27.578,¡C,1016.000,hPa,Humid,34,0
2951288,19/9/19 8:41:17,0.847,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.352,µmol/L,27.591,¡C,1016.000,hPa,Humid,34,0
2951298,19/9/19 8:41:20,0.897,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.483,µmol/L,27.572,¡C,1016.000,hPa,Humid,34,0
2951308,19/9/19 8:41:23,0.948,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.506,µmol/L,27.577,¡C,1016.000,hPa,Humid,34,0
2951318,19/9/19 8:41:26,0.998,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.557,µmol/L,27.569,¡C,1016.000,hPa,Humid,34,0
2951328,19/9/19 8:41:29,1.048,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.602,µmol/L,27.573,¡C,1016.000,hPa,Humid,34,0
2951338,19/9/19 8:41:32,1.098,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.417,µmol/L,27.595,¡C,1016.000,hPa,Humid,34,0
2951348,19/9/19 8:41:35,1.147,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.444,µmol/L,27.578,¡C,1016.000,hPa,Humid,34,0
2951358,19/9/19 8:41:38,1.197,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.415,µmol/L,27.574,¡C,1016.000,hPa,Humid,34,0
2951368,19/9/19 8:41:41,1.248,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.520,µmol/L,27.572,¡C,1016.000,hPa,Humid,34,0
2951378,19/9/19 8:41:44,1.298,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.626,µmol/L,27.548,¡C,1016.000,hPa,Humid,34,0
2951388,19/9/19 8:41:47,1.348,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.732,µmol/L,27.549,¡C,1016.000,hPa,Humid,34,0
2951398,19/9/19 8:41:50,1.398,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.569,µmol/L,27.573,¡C,1016.000,hPa,Humid,34,0
2951408,19/9/19 8:41:53,1.447,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.672,µmol/L,27.550,¡C,1016.000,hPa,Humid,34,0
2951418,19/9/19 8:41:56,1.497,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.590,µmol/L,27.557,¡C,1016.000,hPa,Humid,34,0
2951428,19/9/19 8:41:59,1.548,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.637,µmol/L,27.555,¡C,1016.000,hPa,Humid,34,0
2951438,19/9/19 8:42:02,1.598,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.613,µmol/L,27.547,¡C,1016.000,hPa,Humid,34,0
2951448,19/9/19 8:42:05,1.648,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.607,µmol/L,27.554,¡C,1016.000,hPa,Humid,34,0
2951458,19/9/19 8:42:08,1.698,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.616,µmol/L,27.553,¡C,1016.000,hPa,Humid,34,0
2951468,19/9/19 8:42:11,1.747,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.594,µmol/L,27.566,¡C,1016.000,hPa,Humid,34,0
2951478,19/9/19 8:42:14,1.798,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.553,µmol/L,27.563,¡C,1016.000,hPa,Humid,34,0
2951488,19/9/19 8:42:17,1.848,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.685,µmol/L,27.553,¡C,1016.000,hPa,Humid,34,0
2951498,19/9/19 8:42:20,1.898,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.589,µmol/L,27.560,¡C,1016.000,hPa,Humid,34,0
2951508,19/9/19 8:42:23,1.947,SABD0000000003 (OXY-10 ST),3,Gates3 (PSt7-10),17/9/19 12:25:34,default,197.673,µmol/L,27.552,¡C,1016.000,hPa,Humid,34,0
