Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2975228,19/9/19 15:22:12,0.000,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.391,µmol/L,31.432,¡C,1014.000,hPa,Humid,0,0
2975238,19/9/19 15:22:15,0.046,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.475,µmol/L,31.419,¡C,1014.000,hPa,Humid,0,0
2975248,19/9/19 15:22:18,0.096,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.488,µmol/L,31.421,¡C,1014.000,hPa,Humid,0,0
2975258,19/9/19 15:22:21,0.146,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.266,µmol/L,31.426,¡C,1014.000,hPa,Humid,0,0
2975268,19/9/19 15:22:24,0.196,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.153,µmol/L,31.432,¡C,1014.000,hPa,Humid,0,0
2975278,19/9/19 15:22:27,0.246,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.112,µmol/L,31.424,¡C,1014.000,hPa,Humid,0,0
2975288,19/9/19 15:22:30,0.296,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.199,µmol/L,31.430,¡C,1014.000,hPa,Humid,0,0
2975298,19/9/19 15:22:33,0.346,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.219,µmol/L,31.415,¡C,1014.000,hPa,Humid,0,0
2975308,19/9/19 15:22:36,0.396,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.011,µmol/L,31.434,¡C,1014.000,hPa,Humid,0,0
2975318,19/9/19 15:22:39,0.446,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.954,µmol/L,31.437,¡C,1014.000,hPa,Humid,0,0
2975328,19/9/19 15:22:42,0.496,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.827,µmol/L,31.432,¡C,1014.000,hPa,Humid,0,0
2975338,19/9/19 15:22:45,0.546,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.884,µmol/L,31.435,¡C,1014.000,hPa,Humid,0,0
2975348,19/9/19 15:22:48,0.596,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.032,µmol/L,31.413,¡C,1014.000,hPa,Humid,0,0
2975358,19/9/19 15:22:51,0.646,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,290.150,µmol/L,31.397,¡C,1014.000,hPa,Humid,0,0
2975368,19/9/19 15:22:54,0.696,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.789,µmol/L,31.423,¡C,1014.000,hPa,Humid,0,0
2975378,19/9/19 15:22:57,0.746,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.935,µmol/L,31.401,¡C,1014.000,hPa,Humid,0,0
2975388,19/9/19 15:23:00,0.796,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.675,µmol/L,31.423,¡C,1014.000,hPa,Humid,0,0
