Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2997854,20/9/19 8:34:51,0.000,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,191.005,µmol/L,27.813,¡C,1016.000,hPa,Humid,34,0
2997859,20/9/19 8:34:54,0.043,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,190.590,µmol/L,27.809,¡C,1016.000,hPa,Humid,34,0
2997864,20/9/19 8:34:57,0.092,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,190.155,µmol/L,27.819,¡C,1016.000,hPa,Humid,34,0
2997869,20/9/19 8:35:00,0.143,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,189.836,µmol/L,27.811,¡C,1016.000,hPa,Humid,34,0
2997874,20/9/19 8:35:03,0.193,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,189.505,µmol/L,27.794,¡C,1016.000,hPa,Humid,34,0
2997879,20/9/19 8:35:06,0.242,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,189.103,µmol/L,27.802,¡C,1016.000,hPa,Humid,34,0
2997884,20/9/19 8:35:09,0.293,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,188.751,µmol/L,27.806,¡C,1016.000,hPa,Humid,34,0
2997889,20/9/19 8:35:12,0.343,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,188.343,µmol/L,27.807,¡C,1016.000,hPa,Humid,34,0
2997894,20/9/19 8:35:15,0.393,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,188.183,µmol/L,27.785,¡C,1016.000,hPa,Humid,34,0
2997899,20/9/19 8:35:18,0.443,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,187.785,µmol/L,27.805,¡C,1016.000,hPa,Humid,34,0
2997904,20/9/19 8:35:21,0.493,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,187.563,µmol/L,27.801,¡C,1016.000,hPa,Humid,34,0
2997909,20/9/19 8:35:24,0.543,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,187.442,µmol/L,27.777,¡C,1016.000,hPa,Humid,34,0
2997914,20/9/19 8:35:27,0.593,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,186.949,µmol/L,27.798,¡C,1016.000,hPa,Humid,34,0
2997919,20/9/19 8:35:30,0.643,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,186.684,µmol/L,27.804,¡C,1016.000,hPa,Humid,34,0
2997924,20/9/19 8:35:33,0.693,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,186.486,µmol/L,27.786,¡C,1016.000,hPa,Humid,34,0
2997929,20/9/19 8:35:36,0.743,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,186.215,µmol/L,27.791,¡C,1016.000,hPa,Humid,34,0
2997934,20/9/19 8:35:39,0.793,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.942,µmol/L,27.799,¡C,1016.000,hPa,Humid,34,0
2997939,20/9/19 8:35:42,0.843,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.858,µmol/L,27.788,¡C,1016.000,hPa,Humid,34,0
2997944,20/9/19 8:35:45,0.893,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.689,µmol/L,27.799,¡C,1016.000,hPa,Humid,34,0
2997949,20/9/19 8:35:48,0.943,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.567,µmol/L,27.788,¡C,1016.000,hPa,Humid,34,0
2997954,20/9/19 8:35:51,0.992,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.379,µmol/L,27.794,¡C,1016.000,hPa,Humid,34,0
2997959,20/9/19 8:35:54,1.043,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,185.075,µmol/L,27.785,¡C,1016.000,hPa,Humid,34,0
2997964,20/9/19 8:35:57,1.093,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.898,µmol/L,27.786,¡C,1016.000,hPa,Humid,34,0
2997969,20/9/19 8:36:00,1.143,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.734,µmol/L,27.791,¡C,1016.000,hPa,Humid,34,0
2997974,20/9/19 8:36:03,1.193,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.737,µmol/L,27.771,¡C,1016.000,hPa,Humid,34,0
2997979,20/9/19 8:36:06,1.243,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.586,µmol/L,27.782,¡C,1016.000,hPa,Humid,34,0
2997984,20/9/19 8:36:09,1.293,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.509,µmol/L,27.772,¡C,1016.000,hPa,Humid,34,0
2997989,20/9/19 8:36:12,1.343,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.239,µmol/L,27.780,¡C,1016.000,hPa,Humid,34,0
2997994,20/9/19 8:36:15,1.393,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,184.109,µmol/L,27.780,¡C,1016.000,hPa,Humid,34,0
2997999,20/9/19 8:36:18,1.443,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.946,µmol/L,27.784,¡C,1016.000,hPa,Humid,34,0
2998004,20/9/19 8:36:21,1.492,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.913,µmol/L,27.773,¡C,1016.000,hPa,Humid,34,0
2998009,20/9/19 8:36:24,1.543,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.716,µmol/L,27.786,¡C,1016.000,hPa,Humid,34,0
2998014,20/9/19 8:36:27,1.593,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.693,µmol/L,27.779,¡C,1016.000,hPa,Humid,34,0
2998019,20/9/19 8:36:30,1.643,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.638,µmol/L,27.771,¡C,1016.000,hPa,Humid,34,0
2998024,20/9/19 8:36:33,1.693,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.553,µmol/L,27.771,¡C,1016.000,hPa,Humid,34,0
2998029,20/9/19 8:36:36,1.743,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),17/9/19 12:30:14,default,183.430,µmol/L,27.775,¡C,1016.000,hPa,Humid,34,0
