Current Date: 14-Mar-2020,,,,,,,,,,,,,
Instrument Serial Number: 8470050168,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,,,,
 A01, A01, 03.14.2020,47.86,93988.30657,30.78,60446.30331,52.72,47.28,92849.29241,,,,
 A02, A02, 03.14.2020,10.64,7563.666575,2.56,1819.829552,89.76,10.24,7279.318208,,sample,average,average*9(dilution)
 A03, A03, 03.14.2020,20.48,52826.78517,4.82,12432.86643,80.42,19.58,50505.29559,,220.10/2,49607.06439,446463.5795
 A04, A04, 03.14.2020,40.76,80966.36759,20.2,40125.62869,59.68,40.32,80092.344,,3.9/16,4462.27211,40160.44899
 A05, A05, 03.14.2020,11.68,24092.80212,1.52,3135.36466,89.26,10.74,22153.82661,,222.10/16,26831.17982,241480.6184
 A06, A06, 03.14.2020,8.84,21434.81707,0.46,1115.386408,92.12,7.88,19107.05413,,220.10/30,47455.08006,427095.7206
 A07, A07, 03.14.2020,21.68757127,7687.884253,16.25997719,5763.89219,78.33523375,21.66476625,7679.800253,,19.10/2,23012.39068,207111.5161
 A08, A08, 03.14.2020,22.08,88982.58252,2.58,10397.42133,78.72,21.28,85758.57591,,210.10/30,17325.89531,155933.0578
 A09, A09, 03.14.2020,14.84,21581.02222,7,10179.72746,85.36,14.64,21290.17287,,247.10/2,4618.654861,41567.89375
 A10, A10, 03.14.2020,0,0,27.66,118470.3996,73.4,26.6,113930.3192,,212.10/2,62975.30214,566777.7193
 A11, A11, 03.14.2020,28.82711348,6119.581319,23.80045697,5052.494484,71.5156131,28.4843869,6046.825399,,239.10/30,14117.47242,127057.2518
 A12, A12, 03.14.2020,22.42,120122.3025,5.14,27539.18977,78.44,21.56,115514.5781,,212.10/16,48419.06569,435771.5912
 B01, B01, 03.14.2020,20.78,37545.53811,10.56,19079.92697,79.76,20.24,36569.86003,,45.10/30,4149.783332,37348.04999
 B02, B02, 03.14.2020,6.64,3939.57981,2.1,1245.951446,93.54,6.46,3832.783972,,4.10/30,106157.9578,955421.6202
 B03, B03, 03.14.2020,8.02,16321.84857,0.98,1994.440349,92.34,7.66,15589.19701,,239.9/16,5602.202108,50419.81898
 B04, B04, 03.14.2020,21.78,42813.97016,8.02,15765.29112,78.56,21.44,42145.61617,,201.10/16,12815.60452,115340.4406
 B05, B05, 03.14.2020,11,25175.78897,1.04,2380.256412,89.66,10.34,23665.24163,,221.10/30,13100.97995,117908.8195
 B06, B06, 03.14.2020,7,16631.90091,0.16,380.157735,93.98,6.02,14303.43478,,26.9/16,6574.707645,59172.36881
 B07, B07, 03.14.2020,15.43287327,3977.318546,12.42158093,3201.256391,84.62986198,15.37013802,3961.150584,,11.9/16,1433.564709,12902.08238
 B08, B08, 03.14.2020,13.66,55508.93894,0.5,2031.805964,87.02,12.98,52745.68283,,35.10/16,1530.568168,13775.11351
 B09, B09, 03.14.2020,9.72,12902.95899,4.74,6292.183705,90.58,9.42,12504.71952,,202.9/16,735.6445398,6620.800858
 B10, B10, 03.14.2020,19.04,83532.56398,3.5,15355.25073,81.74,18.26,80110.53667,,229.10/16,1867.766422,16809.8978
 B11, B11, 03.14.2020,21.34030418,3629.717577,17.25285171,2934.493275,78.70722433,21.29277567,3621.633574,,,,
 B12, B12, 03.14.2020,19,108601.576,1.8,10288.57036,81.76,18.24,104257.5129,,,,
