Current Date: 07-Oct-2020,,,,,,,,,,,,,,,
Instrument Serial Number: 8470050168,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,,,,,,
 A01, A01, 10.07.2020,65.96,239641.9456,29.22,106160.3646,34.12,65.88,239351.2943,,,,,,
 A02, A02, 10.07.2020,67.26,302921.2009,29.76,134031.1469,32.94,67.06,302020.4539,,Sample,Average(1:3),Average(1:9),Average*3(Dilution),Average*9(Dilution)
 A03, A03, 10.07.2020,76.08,394017.3456,36.54,189240.192,24.04,75.96,393395.8672,,209.10/30,240493.9096,96351.4633,721481.7289,867163.1697
 A04, A04, 10.07.2020,50.6,288880.8782,22.42,127998.2073,49.76,50.24,286825.5993,,27.10/30,293152.915,107048.2886,879458.7451,963434.5974
 A05, A05, 10.07.2020,43.36,41866.49918,20.14,19446.29367,56.86,43.14,41654.0769,,20.10/16,394915.7476,146907.1994,1184747.243,1322164.795
 A06, A06, 10.07.2020,72.38,222363.3213,35.44,108877.5367,27.82,72.18,221748.8883,,248.10/2,298120.5232,110671.7496,894361.5697,996045.7468
 A07, A07, 10.07.2020,53.56,324671.2277,21.18,128389.4063,46.68,53.32,323216.3902,,211.10/16,39859.22793,11595.1339,119577.6838,104356.2051
 A08, A08, 10.07.2020,59.64,140534.9961,30,70691.64796,40.62,59.38,139922.3352,,210.10/2,220228.7555,89278.95496,660686.2665,803510.5947
 A09, A09, 10.07.2020,57.9,89596.91309,21.56,33362.85745,42.36,57.64,89194.57807,,244.10/2,315933.252,123706.8708,947799.7559,1113361.837
 A10, A10, 10.07.2020,51.42,88827.08439,17.88,30887.36423,48.7,51.3,88619.78664,,203.10/2,138154.9815,54805.56508,414464.9446,493250.0857
 B01, B01, 10.07.2020,67.66,245167.3805,30.34,109937.6045,32.54,67.46,244442.6764,,201.10/2,88917.24925,32273.53981,266751.7478,290461.8583
 B02, B02, 10.07.2020,66.56,286284.8975,30.14,129636.8211,33.52,66.48,285940.8051,,221.10/2,83850.19027,31407.44157,251550.5708,282666.9742
 B03, B03, 10.07.2020,75.38,399672.8722,35.74,189497.3263,24.96,75.04,397870.1556,,,,,,
 B04, B04, 10.07.2020,52,307869.2599,23.1,136764.9982,48.2,51.8,306685.1474,,,,,,
