Current Date: 18-Oct-2020,,,,,,,,,,,,,
Instrument Serial Number: 8470050168,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,,,,
 A01, A01, 10.18.2020,78.78,267201.5154,40.22,136415.9044,21.22,78.78,267201.5154,,,,
 A02, A02, 10.18.2020,78.78,830376.77,30.64,322959.4343,21.32,78.68,829322.7248,,sample,average(1:3),average*3(dilution)
 A03, A03, 10.18.2020,73.94,478892.655,27.34,177074.9958,26.2,73.8,477985.9067,,218.9/16,261868.5549,785605.6646
 A04, A04, 10.18.2020,49.24,408683.5824,16.5,136947.1793,50.92,49.08,407355.6097,,4.10/16,805703.9373,2417111.812
 A05, A05, 10.18.2020,80.72,413845.3971,44.34,227327.8606,19.4,80.6,413230.1661,,204.9/16,471196.2536,1413588.761
 A06, A06, 10.18.2020,66.92,520668.4422,22.62,175994.0251,33.2,66.8,519734.7869,,43.10/2,412311.9317,1236935.795
 A07, A07, 10.18.2020,43,329457.887,18.46,141437.0371,57.2,42.8,327925.5247,,202.10/16,409930.4421,1229791.326
 A08, A08, 10.18.2020,50.76,414084.5305,18.48,150754.179,49.44,50.56,412452.9918,,237.9/16,528402.3116,1585206.935
 A09, A09, 10.18.2020,55.94,383590.2445,17.86,122469.1056,44.38,55.62,381395.9492,,229.10/2,329683.2083,989049.6248
 B01, B01, 10.18.2020,78.58,257698.2483,40.12,131571.0578,21.6,78.4,257107.9495,,240.10/16,418843.0721,1256529.216
 B02, B02, 10.18.2020,79.84,818578.9959,30.9,316809.7567,20.36,79.64,816528.4473,,237.10/2,377044.9063,1131134.719
 B03, B03, 10.18.2020,74.64,472108.8519,27.38,173182.4808,25.44,74.56,471602.8403,,,,
 B04, B04, 10.18.2020,50.68,421198.7864,17.32,143945.5994,49.58,50.42,419037.9402,,,,
 B05, B05, 10.18.2020,80.34,412543.2343,44.88,230457.3108,19.72,80.28,412235.1362,,,,
 B06, B06, 10.18.2020,67.64,532450.9612,23.8,187349.6877,32.5,67.5,531348.9042,,,,
 B07, B07, 10.18.2020,44.56,330508.6869,19.84,147156.471,55.82,44.18,327690.1658,,,,
 B08, B08, 10.18.2020,50.3,423957.006,19.34,163008.5188,49.96,50.04,421765.5781,,,,
 B09, B09, 10.18.2020,55.62,379049.7396,17.66,120352.7221,44.48,55.52,378368.2406,,,,
 C01, C01, 10.18.2020,78.66,260705.9009,39.7,131579.2558,21.4,78.6,260507.0405,,,,
 C02, C02, 10.18.2020,77.34,768156.0461,30.34,301342.8296,22.8,77.2,766765.5386,,,,
 C03, C03, 10.18.2020,73.64,462587.2538,28,175888.6896,26.42,73.58,462210.3494,,,,
 C04, C04, 10.18.2020,47.68,407053.4264,16.18,138131.8045,52.62,47.38,404492.2681,,,,
 C05, C05, 10.18.2020,79.6,403402.695,43.2,218932.1159,20.44,79.56,403199.9801,,,,
 C06, C06, 10.18.2020,67.7,532087.5313,23,180768.2898,32.46,67.54,530830.0128,,,,
 C07, C07, 10.18.2020,43.52,329083.0508,18.44,139436.8441,56.6,43.4,328175.6527,,,,
 C08, C08, 10.18.2020,49.7,418487.6797,17.86,150386.1159,50.6,49.4,415961.5971,,,,
 C09, C09, 10.18.2020,55.48,368494.7347,16.98,112780.1117,44.68,55.32,367432.0245,,,,
