datesameyear,Week,Year,DHW
1/5/19,1,2015,0
1/5/19,1,2019,0
5/4/19,18,2015,0
5/4/19,18,2019,0
5/11/19,19,2015,0
5/11/19,19,2019,0
5/18/19,20,2015,0
5/18/19,20,2019,0
5/25/19,21,2015,0
5/25/19,21,2019,0
6/1/19,22,2015,0
6/1/19,22,2019,0
6/8/19,23,2015,0
6/8/19,23,2019,0
6/15/19,24,2015,0.398809524
6/15/19,24,2019,0.154761905
6/22/19,25,2015,0.535714286
6/22/19,25,2019,0.154761905
6/28/19,NA,2019,NA
6/28/19,NA,2019,NA
6/28/19,NA,2019,NA
6/28/19,NA,2019,NA
6/29/19,26,2015,0.80952381
6/29/19,26,2019,0.720238095
7/6/19,27,2015,0.970238095
7/6/19,27,2019,1.529761905
7/13/19,28,2015,1.958333333
7/13/19,28,2019,2.113095238
7/20/19,29,2015,3.273809524
7/20/19,29,2019,2.595238095
7/27/19,30,2015,4.678571429
7/27/19,30,2019,3.05952381
8/3/19,31,2015,5.803571429
8/3/19,31,2019,3.05952381
8/10/19,32,2015,5.839285714
8/10/19,32,2019,3.05952381
8/17/19,33,2015,5.839285714
8/17/19,33,2019,3.208333333
8/24/19,34,2015,5.714285714
8/24/19,34,2019,3.267857143
8/31/19,35,2015,5.619047619
8/31/19,35,2019,3.178571429
9/7/19,36,2015,5.619047619
9/7/19,36,2019,3.178571429
9/14/19,37,2015,5.43452381
9/14/19,37,2019,3.178571429
9/14/19,37,2019,3.178571429
9/14/19,37,2019,3.178571429
9/14/19,37,2019,3.178571429
9/21/19,38,2015,5.303571429
9/21/19,38,2019,3.178571429
9/28/19,39,2015,5.029761905
9/28/19,39,2019,2.607142857
10/2/19,NA,2015,NA
10/2/19,NA,2015,NA
10/2/19,NA,2015,NA
10/2/19,NA,2015,NA
10/2/19,NA,2019,NA
10/2/19,NA,2019,NA
10/2/19,NA,2019,NA
10/2/19,NA,2019,NA
10/5/19,40,2015,4.863095238
10/5/19,40,2019,1.797619048
10/12/19,41,2015,3.875
10/12/19,41,2019,1.214285714
10/16/19,NA,2019,NA
10/16/19,NA,2019,NA
10/16/19,NA,2019,NA
10/16/19,NA,2019,NA
10/19/19,42,2015,2.55952381
10/19/19,42,2019,0.732142857
10/26/19,43,2015,1.148809524
10/26/19,43,2019,0.273809524
10/30/19,NA,2019,NA
10/30/19,NA,2019,NA
10/30/19,NA,2019,NA
10/30/19,NA,2019,NA
11/2/19,44,2015,0.035714286
11/2/19,44,2019,0.273809524
11/9/19,45,2015,0
11/9/19,45,2019,0.273809524
11/16/19,46,2015,0
11/16/19,46,2019,0.107142857
11/23/19,47,2015,0
11/23/19,47,2019,0.053571429
11/30/19,48,2015,0
11/30/19,48,2019,0
12/4/19,NA,2019,NA
12/4/19,NA,2019,NA
12/4/19,NA,2019,NA
12/4/19,NA,2019,NA
12/7/19,49,2015,0
12/7/19,49,2019,0
12/10/19,NA,2015,NA
12/10/19,NA,2015,NA
12/10/19,NA,2015,NA
12/10/19,NA,2015,NA
12/14/19,50,2015,0
12/14/19,50,2019,0
12/21/19,51,2015,0
12/21/19,51,2019,0
12/28/19,52,2015,0
12/28/19,52,2019,0
